genus,alley_tree,sponsorship,height,trunk_circumference,crown_diameter
Birch,0,0,16.0,0.7854000000000001,6.0
Poplar,0,0,6.0,0.377,1.3
Cherry,0,0,5.5,0.2198999999999999,1.0
Cherry,0,0,5.0,0.2198999999999999,1.3
Birch,0,0,15.0,0.6283,6.0
Birch,0,0,15.0,0.6283,6.0
Rowan,0,0,5.0,0.2198999999999999,0.8
Poplar,0,0,5.0,0.2827,1.5
Birch,0,0,8.0,0.6283,5.0
Birch,0,0,10.0,0.6283,6.0
Birch,0,0,12.0,0.7226,7.0
Cherry,0,0,5.5,0.2512999999999999,1.5
Ash,0,0,7.0,0.4084,4.0
Willow,0,0,12.0,1.2566,2.0
Birch,0,0,14.0,0.9425,5.0
Poplar,0,0,6.0,0.2827,1.3
Poplar,0,0,6.0,0.2512999999999999,1.3
Poplar,0,0,6.0,0.2827,1.3
Poplar,0,0,5.5,0.2512999999999999,1.5
Cherry,0,0,4.5,0.2198999999999999,1.2
Cherry,0,0,4.5,0.2512999999999999,1.0
Cherry,0,0,4.5,0.2512999999999999,1.0
Poplar,0,0,5.5,0.2198999999999999,1.5
Poplar,0,0,5.5,0.2198999999999999,1.5
Poplar,0,0,5.5,0.2198999999999999,1.5
Poplar,0,0,5.5,0.2198999999999999,1.5
Poplar,0,0,5.0,0.2512999999999999,1.3
Poplar,0,0,4.0,0.2198999999999999,1.3
Poplar,0,0,5.0,0.2198999999999999,1.3
Poplar,0,0,4.0,0.2198999999999999,1.3
Rowan,0,0,4.5,0.1885,1.0
Rowan,0,0,4.5,0.1885,1.0
Rowan,0,0,4.5,0.1885,1.0
Poplar,0,0,5.0,0.1885,1.0
Poplar,0,0,5.0,0.1885,1.0
Willow,0,0,20.0,1.0,3.1500000000000004
Rowan,0,0,12.0,0.95,5.5
Lime,0,0,5.0,0.1885,1.0
ulmus,0,0,5.0,0.1885,1.3
Lime,0,0,5.0,0.1885,1.5
Rowan,0,0,4.5,0.2198999999999999,1.0
Rowan,0,0,4.5,0.2198999999999999,1.0
Rowan,0,0,4.5,0.2198999999999999,1.0
Birch,0,0,15.0,0.5655,5.0
Birch,0,0,10.0,0.4711999999999999,5.0
Birch,0,0,12.0,0.5655,5.0
Birch,0,0,8.0,0.4711999999999999,6.0
Birch,0,0,15.0,1.0996,5.0
Poplar,0,0,5.5,0.2512999999999999,1.2
Willow,0,0,10.0,1.2566,3.1500000000000004
Willow,0,0,10.0,1.0996,3.1500000000000004
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,6.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,3.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
malus,0,0,5.0,0.2198999999999999,2.0
Oak,0,0,6.0,0.2512999999999999,3.0
Oak,0,0,6.0,0.2512999999999999,2.0
Oak,0,0,6.0,0.2512999999999999,3.0
Oak,0,0,6.0,0.2512999999999999,3.0
Oak,0,0,6.0,0.2512999999999999,3.0
Oak,0,0,6.0,0.2512999999999999,3.0
Oak,0,0,6.0,0.2512999999999999,3.0
Oak,0,0,6.0,0.2512999999999999,3.0
Oak,0,0,6.0,0.2512999999999999,3.0
Cherry,0,0,5.5,0.2198999999999999,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.377,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,6.0,0.0314,1.0
Cherry,0,0,5.0,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3142,1.0
Cherry,0,0,5.5,0.3142,1.0
Cherry,0,0,5.5,0.3142,1.0
Cherry,0,0,5.5,0.3456,1.0
Cherry,0,0,5.5,0.3142,1.0
Cherry,0,0,5.5,0.3142,1.0
Birch,0,0,14.0,1.1624,4.0
Willow,0,0,14.0,1.1624,2.0
Beech,0,0,10.0,1.131,1.5
Maple,0,0,4.0,0.4084,2.0
Poplar,0,0,18.0,3.6442,2.9
Maple,0,0,6.0,0.3456,3.0
Lime,1,0,16.0,1.8535,10.0
Birch,0,0,16.0,1.2252,4.0
Lime,0,0,12.0,1.68,8.0
Oak,0,0,16.0,1.27,2.0
Birch,0,0,18.0,1.1938,4.0
Birch,0,0,17.0,1.1624,3.5
Ash,0,0,6.0,0.18,1.0
Birch,0,0,10.0,0.7854000000000001,3.0
Oak,0,0,19.0,2.5447,2.0
Maple,0,0,9.0,0.4084,3.0
Birch,0,0,18.0,1.6965,5.0
Birch,0,0,20.0,1.4765,6.0
Birch,0,0,14.0,1.0053,4.0
Oak,0,0,24.0,2.2934,2.0
Birch,0,0,17.0,1.6965,5.0
Maple,0,0,12.0,0.9739,4.0
Lime,0,0,17.0,1.7593,6.0
Birch,0,0,16.0,1.9478,7.0
Oak,0,0,10.0,1.2252,2.0
Birch,0,0,14.0,1.6336000000000002,4.5
Ash,0,0,11.0,1.1624,4.0
Ash,0,0,11.0,1.0053,4.0
Ash,0,0,9.0,0.8168000000000001,4.0
Ash,0,0,11.0,1.0053,3.0
Birch,0,0,14.0,0.754,3.0
Ash,0,0,13.0,1.2881,4.0
Ash,0,0,13.0,1.0053,4.0
Ash,0,0,13.0,1.4137,5.0
Birch,0,0,5.0,0.18,1.0
Ash,0,0,13.0,0.7854000000000001,3.0
Ash,0,0,13.0,1.0367,4.0
Oak,0,0,13.0,0.8168000000000001,2.0
Ash,0,0,13.0,0.8482,4.0
Ash,0,0,14.0,0.8795999999999999,5.0
Ash,0,0,14.0,1.7593,6.0
Ash,0,0,16.0,1.6336000000000002,7.0
Birch,0,0,9.0,0.8482,3.0
thuja,0,0,8.0,1.0996,2.5
Maple,0,0,7.0,0.7226,3.0
Maple,0,0,7.0,0.754,3.0
platanus,0,0,14.0,1.131,5.5
Maple,0,0,6.0,0.377,2.0
Willow,0,0,6.0,0.7854000000000001,2.0
Ash,0,0,9.0,0.7226,3.0
Ash,0,0,10.0,0.4711999999999999,3.0
Ash,0,0,10.0,0.7854000000000001,3.0
Oak,0,0,12.0,1.0367,2.0
Poplar,0,0,23.0,2.9845,2.9
Willow,0,0,12.0,1.131,2.0
Birch,0,0,9.0,0.53,3.0
Willow,0,0,13.0,1.1624,2.0
ostrya,0,0,5.0,0.18,1.0
Poplar,0,0,24.0,2.0735,2.9
Poplar,0,0,23.0,2.5133,2.9
carpinus,0,0,8.0,0.4397999999999999,1.1
Birch,0,0,22.0,2.2619,5.0
pinus,0,0,25.0,1.6965,1.0
Birch,0,0,10.0,1.1938,3.0
Cherry,0,0,4.0,0.5655,1.0
Willow,0,0,8.0,1.7907,2.0
Maple,0,0,7.0,0.5655,2.5
Willow,0,0,7.0,1.8221,2.0
Willow,0,0,6.0,1.4450999999999998,2.0
Birch,0,0,12.0,0.754,3.0
Rowan,0,0,5.0,0.7854000000000001,2.0
Birch,0,0,11.0,0.8482,2.5
Ash,0,0,12.0,2.5447,6.0
Ash,0,0,13.0,2.0106,6.0
Ash,0,0,11.0,0.6912,5.0
Beech,0,0,4.0,0.2,1.0
Oak,0,0,16.0,1.27,2.0
Ash,0,0,12.0,0.7226,3.0
Cherry,1,0,4.0,0.67,4.0
Lime,0,0,5.0,0.18,1.0
Ash,0,0,12.0,0.5969,2.0
Maple,0,0,5.0,0.377,1.0
Willow,0,0,20.0,3.2044,2.0
Willow,0,0,20.0,4.2726,2.0
ostrya,0,0,5.0,0.18,1.0
picea,0,0,9.0,0.5341,1.5
picea,0,0,7.0,0.5027,1.0
Oak,0,0,13.0,2.2305,2.0
Willow,0,0,10.0,1.1624,2.0
Birch,0,0,14.0,1.0681,3.5
Birch,0,0,15.0,1.2881,4.0
Birch,0,0,10.0,0.8168000000000001,3.0
Birch,0,0,11.0,0.9739,3.5
alnus,0,0,13.0,0.9425,1.0
picea,0,0,13.0,1.5394,1.0
Birch,0,0,11.0,1.0053,4.0
pyrus,0,0,1.5,0.425,2.75
Cherry,0,0,9.0,0.4084,1.0
Lime,0,0,9.0,0.4711999999999999,3.0
Ash,0,0,15.0,1.3823,5.0
thuja,0,0,8.0,0.5969,2.5
Oak,1,0,4.0,0.25,1.0
picea,0,0,14.0,1.3823,1.0
picea,0,0,13.0,0.8168000000000001,1.0
Maple,0,0,8.0,0.4711999999999999,4.5
Cherry,0,0,7.0,0.754,3.5
carpinus,0,0,10.0,1.6,1.1
Oak,0,0,5.0,0.2,2.0
robinia,0,0,10.0,0.6283,1.0
Cherry,0,0,5.0,0.3142,1.0
Ash,0,0,11.0,1.2252,3.0
Ash,0,0,14.0,0.9111,6.0
Cherry,0,0,4.0,0.6912,1.0
Cherry,0,0,5.0,0.4397999999999999,2.0
Birch,0,0,10.0,1.4137,3.0
Maple,0,0,9.0,0.754,3.0
Poplar,0,0,12.0,0.66,3.5
Cherry,0,0,7.0,0.4711999999999999,1.0
Willow,0,0,8.0,0.4084,2.0
Birch,0,0,19.0,1.131,4.0
Oak,0,0,5.0,0.62,4.0
Birch,0,0,19.0,1.1624,4.0
Birch,0,0,21.0,1.1624,4.0
Birch,0,0,22.0,1.3823,6.0
Maple,0,0,8.0,0.377,2.6
Birch,0,0,12.0,0.6912,5.0
Maple,0,0,8.0,0.5655,4.5
Oak,0,0,12.0,1.0681,2.0
Maple,0,0,8.0,1.0053,6.0
Lime,0,0,4.0,0.2,1.0
sophora,1,0,10.0,1.22,1.0
juglans,0,0,5.0,0.18,1.0
Maple,0,0,4.0,0.18,1.0
Lime,1,0,12.0,1.72,8.2
sophora,0,0,8.0,0.5655,1.0
Cherry,1,0,5.0,0.3456,4.0
ailanthus,0,0,13.0,1.3509,9.0
pyrus,0,0,1.5,0.425,2.75
ulmus,0,0,6.0,0.2,1.0
Maple,0,0,9.0,0.6283,5.0
Maple,0,0,15.0,1.3823,11.0
Birch,0,0,18.0,1.1938,6.0
Oak,0,0,15.0,1.6965,2.0
Lime,0,0,5.5,0.22,0.5
Oak,0,0,15.0,1.3823,2.0
Oak,0,0,16.0,1.27,2.0
Oak,0,0,18.0,2.6389,2.0
Birch,0,0,16.0,1.1938,5.0
Oak,0,0,14.0,0.9425,2.0
Lime,0,0,16.0,1.3195,1.0
Birch,0,0,15.0,0.9739,5.0
Oak,0,0,11.0,0.8482,2.0
Maple,0,0,6.0,0.3456,4.0
abies,0,0,5.0,0.3142,1.5
Oak,0,0,12.0,0.8168000000000001,2.0
abies,0,0,9.0,0.5655,3.0
Oak,0,0,12.0,0.9111,2.0
larix,0,0,13.0,0.5969,1.0
Birch,0,0,13.0,0.5655,3.0
Birch,0,0,11.0,0.5341,2.0
Oak,0,0,6.0,0.4397999999999999,2.0
Birch,0,0,17.0,1.3509,7.5
Oak,0,0,4.0,0.3456,2.0
Oak,0,0,6.0,0.5969,2.0
Oak,0,0,13.0,1.0996,2.0
Oak,0,0,13.0,0.9111,2.0
Birch,0,0,20.0,1.2881,7.0
Maple,0,0,9.0,0.377,4.0
Ash,0,0,11.0,0.6597,5.0
Birch,0,0,19.0,1.0681,5.0
Birch,0,0,20.0,1.4450999999999998,5.0
pinus,0,0,14.0,1.8221,1.0
Beech,0,0,15.0,0.9425,1.5
Cherry,1,0,5.0,0.2198999999999999,2.6
malus,0,0,5.0,0.18,1.0
Cherry,0,0,6.0,0.5027,4.0
Cherry,0,0,5.0,0.4711999999999999,5.0
Maple,0,0,15.0,0.9739,7.0
Maple,0,0,13.0,0.754,6.0
Cherry,0,0,8.0,0.7226,1.5
Maple,0,0,14.0,0.8795999999999999,6.0
Maple,0,0,14.0,0.9425,7.0
Cherry,0,0,6.0,0.6283,4.0
picea,0,0,14.0,1.0681,1.0
abies,0,0,11.0,0.754,3.0
abies,0,0,11.0,0.754,4.0
larix,0,0,8.0,0.6283,1.0
abies,0,0,6.0,0.3142,2.0
pinus,0,0,7.0,0.377,3.0
Birch,0,0,6.0,0.4397999999999999,2.0
Willow,0,0,7.0,0.754,3.0
Oak,0,0,11.0,1.4765,2.0
Cherry,0,0,6.0,0.6597,6.0
Poplar,1,0,13.0,0.7854000000000001,3.2
Poplar,0,0,15.0,0.8795999999999999,1.3
Poplar,0,0,10.0,0.63,4.0
